account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial_x,is_churned,total_subscriptions,churned_subscriptions,total_mrr,avg_mrr,total_arr,max_tenure_months,avg_tenure_months,has_upgraded,has_downgraded,is_trial_y,auto_renew_count,sub_churn_rate,total_usage_events,total_usage_count,total_usage_duration,avg_usage_duration,total_errors,unique_features_used,beta_feature_usage,engagement_score,total_tickets,escalated_tickets,avg_resolution_hours,avg_first_response_mins,avg_satisfaction,urgent_tickets,escalation_rate,TenureGroup,signup_month,signup_year,signup_quarter,RevenueTier,EngagementTier,CLV,HighRisk
A-9f2731,Company_24,Fintech,IN,2024-10-04,event,Enterprise,1,False,False,7,0,3613,516.1428571428571,43356,20.7,19.928571428571427,False,True,True,7,0.0,32,324,98113,3066.03125,20,23,2,44.13,0.0,,,,,,,13-24 Months,2024-10,2024,2024Q4,Low,Low,10285.99,0
A-32fb14,Company_25,Devtools,US,2023-03-07,event,Enterprise,26,False,True,9,2,10162,1129.111111111111,121944,35.7,22.555555555555557,True,False,True,7,0.222,47,488,150708,3206.553191489362,19,27,2,56.92,5.0,0.0,34.0,59.6,4.2,3.0,0.0,24+ Months,2023-03,2023,2023Q1,Low,Medium,25467.73,0
A-00cac8,Company_26,Healthtech,AU,2023-09-15,organic,Enterprise,8,True,False,9,0,14121,1569.0,169452,33.7,25.11111111111111,False,True,True,8,0.0,58,602,171366,2954.5862068965516,31,30,7,66.08,2.0,0.0,33.0,120.5,4.0,2.0,0.0,24+ Months,2023-09,2023,2023Q3,Medium,Medium,39399.33,0
A-35083d,Company_27,Healthtech,IN,2023-04-28,partner,Basic,19,False,True,16,1,32433,2027.0625,389196,37.2,25.4375,True,False,True,14,0.062,72,791,237055,3292.4305555555557,37,29,7,73.81,4.0,0.0,49.75,119.0,4.75,0.0,0.0,24+ Months,2023-04,2023,2023Q2,Very High,Medium,51563.4,0
A-eb7fac,Company_28,Devtools,US,2023-10-28,organic,Enterprise,7,False,False,10,1,42096,4209.6,505152,30.4,22.330000000000002,False,False,False,9,0.1,53,538,185729,3504.3207547169814,44,27,6,59.3,4.0,0.0,34.0,126.5,4.0,2.0,0.0,24+ Months,2023-10,2023,2023Q4,Very High,Medium,94000.37,0
A-b20d99,Company_29,Healthtech,IN,2023-09-27,other,Basic,20,False,False,7,0,11069,1581.2857142857142,132828,29.3,24.75714285714286,True,False,False,6,0.0,33,329,105214,3188.3030303030305,12,22,5,43.12,2.0,0.0,61.5,27.0,3.5,0.0,0.0,24+ Months,2023-09,2023,2023Q3,Low,Low,39148.12,0
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,10,0,10236,1023.6,122832,21.0,20.03,True,True,True,8,0.0,55,540,175427,3189.581818181818,23,29,5,61.89,5.0,1.0,24.8,102.8,4.0,1.0,0.2,13-24 Months,2024-10,2024,2024Q4,Low,Medium,20502.71,0
A-45ce7a,Company_31,Fintech,US,2023-07-23,ads,Enterprise,16,False,False,7,1,8216,1173.7142857142858,98592,28.5,22.814285714285713,True,True,True,5,0.143,39,424,124978,3204.5641025641025,30,21,2,46.38,5.0,0.0,45.4,91.8,3.8,0.0,0.0,24+ Months,2023-07,2023,2023Q3,Low,Low,26777.45,0
A-08e34e,Company_32,Edtech,US,2024-06-27,event,Basic,14,False,True,11,0,21821,1983.7272727272727,261852,24.1,21.263636363636365,False,False,True,7,0.0,63,651,186929,2967.126984126984,32,34,7,73.41,3.0,0.0,43.0,84.0,3.33,0.0,0.0,24+ Months,2024-06,2024,2024Q2,High,Medium,42181.26,0
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,12,1,17260,1438.3333333333333,207120,35.1,25.90833333333333,True,False,True,11,0.083,64,693,200177,3127.765625,27,32,5,72.91,6.0,0.0,23.67,90.17,4.0,1.0,0.0,24+ Months,2023-04,2023,2023Q2,Medium,Medium,37264.82,0
A-bad8c1,Company_34,Fintech,AU,2023-03-01,organic,Basic,7,False,False,7,0,7797,1113.857142857143,93564,36.9,30.571428571428573,True,False,True,7,0.0,37,385,125675,3396.6216216216217,11,29,6,54.53,1.0,0.0,27.0,49.0,4.0,0.0,0.0,24+ Months,2023-03,2023,2023Q1,Low,Medium,34052.2,0
A-44dc83,Company_35,Edtech,FR,2024-05-12,other,Basic,5,False,False,4,0,456,114.0,5472,24.6,21.6,False,False,True,4,0.0,24,248,81119,3379.9583333333335,13,16,3,31.78,7.0,0.0,40.86,76.14,4.43,1.0,0.0,24+ Months,2024-05,2024,2024Q2,Low,Low,2462.4,0
A-f446b6,Company_36,Devtools,DE,2023-05-12,ads,Pro,5,True,False,9,1,11392,1265.7777777777778,136704,37.4,25.677777777777777,False,False,False,7,0.111,39,376,127515,3269.6153846153848,30,27,3,51.6,8.0,1.0,30.75,82.5,4.12,4.0,0.12,24+ Months,2023-05,2023,2023Q2,Low,Medium,32502.36,0
A-a45270,Company_37,Healthtech,US,2024-06-24,ads,Enterprise,3,False,False,12,1,20131,1677.5833333333333,241572,23.7,19.808333333333334,True,True,True,9,0.083,71,733,222582,3134.957746478873,52,35,4,78.56,4.0,0.0,64.0,110.0,4.0,1.0,0.0,13-24 Months,2024-06,2024,2024Q2,High,High,33230.13,0
A-854864,Company_38,Fintech,IN,2024-12-07,event,Enterprise,20,False,False,6,1,14759,2459.8333333333335,177108,18.7,15.283333333333333,False,False,False,5,0.167,24,248,73517,3063.2083333333335,10,17,4,33.03,5.0,0.0,44.2,100.8,4.8,0.0,0.0,13-24 Months,2024-12,2024,2024Q4,Medium,Low,37594.45,0
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,11,2,8771,797.3636363636364,105252,20.1,15.654545454545456,False,True,True,11,0.182,62,647,195598,3154.8064516129034,30,33,4,71.97,5.0,0.0,27.2,109.4,4.0,2.0,0.0,13-24 Months,2024-10,2024,2024Q4,Low,Medium,12482.37,0
A-05f0e5,Company_40,Fintech,US,2023-05-04,partner,Basic,32,False,False,12,0,51109,4259.083333333333,613308,37.0,27.425,True,False,False,10,0.0,67,706,207116,3091.283582089552,46,32,9,73.52,4.0,0.0,20.0,108.5,4.0,0.0,0.0,24+ Months,2023-05,2023,2023Q2,Very High,Medium,116805.36,0
A-9077b0,Company_41,Healthtech,US,2024-08-25,ads,Basic,2,False,False,7,2,3565,509.2857142857143,42780,22.2,14.099999999999998,True,False,True,7,0.286,46,493,146301,3180.4565217391305,31,26,5,55.91,3.0,0.0,40.33,136.33,4.33,1.0,0.0,13-24 Months,2024-08,2024,2024Q3,Low,Medium,7180.93,0
A-7f8241,Company_42,Edtech,US,2023-03-14,organic,Pro,34,False,True,15,0,39516,2634.4,474192,39.5,30.9,True,False,True,10,0.0,77,734,227186,2950.4675324675327,38,34,5,77.35,1.0,0.0,36.0,135.0,3.0,0.0,0.0,24+ Months,2023-03,2023,2023Q1,Very High,High,81402.96,0
A-2bc93d,Company_43,Healthtech,US,2023-03-14,event,Basic,14,False,False,13,1,32394,2491.846153846154,388728,35.7,25.692307692307693,True,False,True,11,0.077,67,666,215735,3219.9253731343283,31,33,5,72.87,2.0,0.0,12.0,78.0,4.5,1.0,0.0,24+ Months,2023-03,2023,2023Q1,Very High,Medium,64021.28,0
A-f3ff05,Company_44,Fintech,IN,2024-07-06,other,Enterprise,2,False,False,13,1,19465,1497.3076923076924,233580,23.1,19.407692307692308,True,False,True,12,0.077,66,672,210327,3186.7727272727275,36,28,4,66.91,3.0,0.0,42.67,111.33,3.67,0.0,0.0,13-24 Months,2024-07,2024,2024Q3,High,Medium,29059.29,0
A-2d4502,Company_45,Fintech,IN,2024-04-29,event,Basic,7,False,False,10,0,29071,2907.1,348852,26.2,21.61,True,False,True,7,0.0,47,465,127997,2723.340425531915,19,29,7,58.33,3.0,0.0,26.33,82.0,4.67,2.0,0.0,24+ Months,2024-04,2024,2024Q2,Very High,Medium,62822.43,0
A-6a4e2d,Company_46,Edtech,UK,2023-04-07,partner,Pro,9,False,False,11,3,10394,944.9090909090909,124728,36.0,24.59090909090909,True,True,True,9,0.273,59,597,172764,2928.2033898305085,30,27,3,62.1,2.0,1.0,18.5,141.0,4.5,0.0,0.5,24+ Months,2023-04,2023,2023Q2,Low,Medium,23236.17,0
A-eb7c38,Company_47,Devtools,AU,2024-02-25,organic,Enterprise,5,False,False,15,4,38210,2547.3333333333335,458520,26.8,17.353333333333335,True,True,True,10,0.267,70,693,203946,2913.5142857142855,27,33,6,74.16,5.0,0.0,22.4,67.4,4.2,2.0,0.0,24+ Months,2024-02,2024,2024Q1,Very High,Medium,44204.72,0
A-c37601,Company_48,Edtech,US,2024-10-31,partner,Basic,6,True,False,12,2,20475,1706.25,245700,20.0,15.758333333333333,False,False,True,10,0.167,48,489,131835,2746.5625,21,28,3,58.22,4.0,0.0,42.25,83.0,3.75,2.0,0.0,13-24 Months,2024-10,2024,2024Q4,High,Medium,26887.66,0
A-3b5cd1,Company_49,Fintech,US,2023-09-12,event,Basic,13,True,False,13,0,23676,1821.2307692307693,284112,33.3,27.430769230769233,True,True,True,9,0.0,52,523,177958,3422.269230769231,24,27,5,58.58,5.0,0.0,27.4,46.6,4.0,2.0,0.0,24+ Months,2023-09,2023,2023Q3,High,Medium,49957.76,0
A-b2225d,Company_50,Fintech,US,2024-03-08,ads,Basic,47,False,True,12,0,19088,1590.6666666666667,229056,27.1,22.65833333333333,True,True,True,9,0.0,73,696,236693,3242.3698630136987,60,34,5,75.55,2.0,0.0,42.0,38.0,3.5,0.0,0.0,24+ Months,2024-03,2024,2024Q1,High,High,36041.86,0
A-94f8c9,Company_51,Healthtech,US,2024-03-29,other,Basic,13,False,False,16,1,31989,1999.3125,383868,27.0,20.64375,True,True,True,14,0.062,77,746,204124,2650.961038961039,61,33,7,76.67,3.0,0.0,47.33,87.67,4.67,2.0,0.0,24+ Months,2024-03,2024,2024Q1,Very High,High,41273.31,0
A-02fac6,Company_52,Fintech,US,2023-04-06,event,Pro,22,False,False,11,0,26410,2400.909090909091,316920,32.6,25.11818181818182,True,False,False,9,0.0,53,514,169854,3204.7924528301887,33,32,5,64.41,6.0,0.0,23.33,100.5,4.0,1.0,0.0,24+ Months,2023-04,2023,2023Q2,High,Medium,60306.47,0
A-c1dfe1,Company_53,Devtools,DE,2023-08-07,ads,Pro,26,False,False,8,1,25790,3223.75,309480,30.7,23.4,True,True,False,5,0.125,39,375,127687,3274.025641025641,30,24,4,47.81,3.0,0.0,50.33,93.67,4.0,1.0,0.0,24+ Months,2023-08,2023,2023Q3,High,Low,75435.75,0
A-32728c,Company_54,Devtools,US,2023-01-03,event,Pro,20,False,True,8,1,4498,562.25,53976,39.2,28.0625,True,False,True,8,0.125,41,418,115325,2812.8048780487807,22,26,6,52.35,2.0,0.0,34.5,61.5,3.5,0.0,0.0,24+ Months,2023-01,2023,2023Q1,Low,Medium,15778.14,0
A-4c38bc,Company_55,Healthtech,UK,2024-03-09,event,Basic,36,False,True,16,2,48060,3003.75,576720,27.6,21.25,True,False,True,14,0.125,81,818,271358,3350.098765432099,27,37,10,85.09,3.0,0.0,48.33,43.0,3.67,1.0,0.0,24+ Months,2024-03,2024,2024Q1,Very High,High,63829.69,0
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,8,1,9332,1166.5,111984,31.8,22.5,True,False,True,5,0.125,38,399,110456,2906.7368421052633,12,27,3,52.7,3.0,0.0,42.67,75.33,4.0,0.0,0.0,24+ Months,2023-07,2023,2023Q3,Low,Medium,26246.25,0
A-6f8ad2,Company_57,Edtech,IN,2024-07-09,organic,Basic,1,False,False,17,2,25928,1525.1764705882354,311136,23.4,18.71764705882353,True,True,True,10,0.118,88,924,261489,2971.465909090909,56,38,13,91.37,4.0,0.0,35.25,37.25,4.25,1.0,0.0,13-24 Months,2024-07,2024,2024Q3,High,High,28547.71,0
A-4d1e75,Company_58,Devtools,US,2024-08-21,other,Basic,20,False,False,13,0,31390,2414.6153846153848,376680,21.8,20.292307692307695,True,True,True,9,0.0,51,477,148106,2904.0392156862745,25,28,5,57.65,2.0,0.0,15.0,98.5,4.0,0.0,0.0,13-24 Months,2024-08,2024,2024Q3,Very High,Medium,48998.12,0
A-9ee962,Company_59,Healthtech,US,2023-02-28,ads,Basic,9,False,True,9,2,9420,1046.6666666666667,113040,36.6,24.266666666666666,True,True,True,7,0.222,39,439,120226,3082.7179487179487,17,25,3,52.1,3.0,0.0,37.0,69.67,4.0,0.0,0.0,24+ Months,2023-02,2023,2023Q1,Low,Medium,25399.11,0
A-378b99,Company_60,Edtech,UK,2024-09-01,ads,Pro,8,True,False,12,1,12116,1009.6666666666666,145392,21.7,18.650000000000002,True,True,True,12,0.083,58,565,187525,3233.189655172414,37,33,5,68.08,6.0,0.0,28.5,78.83,4.33,0.0,0.0,13-24 Months,2024-09,2024,2024Q3,Medium,Medium,18830.28,0
A-94d3da,Company_61,Healthtech,US,2023-05-03,other,Basic,41,False,False,12,1,22673,1889.4166666666667,272076,37.2,27.433333333333334,True,False,True,8,0.083,48,464,150051,3126.0625,25,29,5,58.28,6.0,0.0,26.83,80.5,3.67,3.0,0.0,24+ Months,2023-05,2023,2023Q2,High,Medium,51833.0,0
A-e351e1,Company_62,Edtech,US,2024-09-26,other,Enterprise,33,False,False,5,1,3498,699.6,41976,21.2,16.6,False,False,True,4,0.2,29,295,102452,3532.8275862068967,22,18,3,36.51,4.0,0.0,17.0,65.25,3.75,1.0,0.0,13-24 Months,2024-09,2024,2024Q3,Low,Low,11613.36,0
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,13,2,32477,2498.230769230769,389724,24.2,18.161538461538463,False,False,True,10,0.154,70,729,220382,3148.3142857142857,44,33,8,75.87,5.0,0.0,30.2,102.6,4.4,2.0,0.0,24+ Months,2024-06,2024,2024Q2,Very High,High,45371.71,0
A-7e0a10,Company_64,Fintech,US,2023-11-18,ads,Enterprise,46,False,False,10,0,41116,4111.6,493392,31.3,27.35,True,False,False,7,0.0,50,511,173162,3463.24,34,34,5,66.76,5.0,0.0,39.4,62.6,4.0,3.0,0.0,24+ Months,2023-11,2023,2023Q4,Very High,Medium,112452.26,0
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,12,1,23919,1993.25,287028,20.2,17.241666666666667,True,True,False,9,0.083,60,599,168143,2802.383333333333,32,29,5,64.69,5.0,0.0,24.2,56.8,4.2,0.0,0.0,13-24 Months,2024-10,2024,2024Q4,High,Medium,34366.95,0
A-526d93,Company_66,Healthtech,FR,2024-04-14,organic,Basic,43,False,False,9,1,39201,4355.666666666667,470412,26.5,21.1,True,False,True,5,0.111,56,565,159213,2843.089285714286,44,28,5,61.83,5.0,1.0,51.4,134.6,3.8,1.0,0.2,24+ Months,2024-04,2024,2024Q2,Very High,Medium,91904.57,0
A-f92792,Company_67,Fintech,US,2024-07-04,ads,Pro,1,False,False,14,0,18807,1343.357142857143,225684,23.9,20.857142857142858,True,True,True,8,0.0,53,528,149124,2813.6603773584907,30,32,6,65.07,2.0,0.0,45.0,82.0,4.0,0.0,0.0,13-24 Months,2024-07,2024,2024Q3,Medium,Medium,28018.59,0
A-84ebe4,Company_68,Fintech,US,2023-03-12,ads,Pro,18,True,True,11,2,27994,2544.909090909091,335928,38.0,24.963636363636365,False,False,True,10,0.182,42,396,123655,2944.1666666666665,26,27,7,52.55,4.0,0.0,29.5,135.5,4.0,0.0,0.0,24+ Months,2023-03,2023,2023Q1,High,Medium,63530.19,0
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,13,1,27803,2138.6923076923076,333636,23.8,19.338461538461537,True,False,True,11,0.077,70,692,196300,2804.285714285714,25,34,6,75.36,5.0,0.0,35.4,63.0,4.6,0.0,0.0,13-24 Months,2024-07,2024,2024Q3,High,High,41359.02,0
A-2922b6,Company_70,Healthtech,US,2024-11-14,organic,Basic,15,False,False,6,1,10669,1778.1666666666667,128028,18.9,15.5,True,False,False,5,0.167,37,393,117237,3168.5675675675675,13,27,2,52.41,2.0,0.0,15.5,103.0,4.0,1.0,0.0,13-24 Months,2024-11,2024,2024Q4,Low,Medium,27561.58,0
A-9b9fe9,Company_71,Edtech,AU,2023-09-28,other,Basic,5,False,False,12,1,19725,1643.75,236700,32.7,23.358333333333334,False,True,True,10,0.083,58,597,196701,3391.396551724138,21,30,3,65.85,4.0,0.0,33.5,156.5,4.0,1.0,0.0,24+ Months,2023-09,2023,2023Q3,High,Medium,38395.26,0
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,12,0,11567,963.9166666666666,138804,32.8,27.21666666666667,True,False,True,11,0.0,54,545,183399,3396.277777777778,41,27,1,59.63,1.0,0.0,72.0,105.0,4.0,0.0,0.0,24+ Months,2023-10,2023,2023Q4,Low,Medium,26234.6,0
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,15,1,53976,3598.4,647712,18.8,17.21333333333333,True,False,True,12,0.067,69,689,206138,2987.5072463768115,61,34,6,75.22,2.0,0.0,39.0,167.0,4.5,1.0,0.0,13-24 Months,2024-12,2024,2024Q4,Very High,High,61940.46,0
A-a1bbb6,Company_74,Devtools,CA,2023-04-05,organic,Basic,1,False,False,8,1,14402,1800.25,172824,38.8,29.1,False,False,True,5,0.125,37,366,118465,3201.7567567567567,20,23,7,46.13,3.0,0.0,17.67,120.67,4.0,1.0,0.0,24+ Months,2023-04,2023,2023Q2,Medium,Low,52387.28,0
A-c45b23,Company_75,Fintech,UK,2023-12-08,partner,Basic,5,False,False,12,1,8504,708.6666666666666,102048,30.3,22.724999999999998,False,False,True,9,0.083,59,581,181056,3068.7457627118642,30,32,10,67.59,3.0,0.0,36.67,51.67,3.67,1.0,0.0,24+ Months,2023-12,2023,2023Q4,Low,Medium,16104.45,0
A-02cd81,Company_76,Healthtech,IN,2024-03-28,other,Basic,44,False,False,14,1,32956,2354.0,395472,27.3,22.857142857142858,False,False,True,11,0.071,72,684,219304,3045.8888888888887,28,31,5,71.23,3.0,1.0,17.33,84.67,4.33,1.0,0.33,24+ Months,2024-03,2024,2024Q1,Very High,Medium,53805.71,0
A-ee42db,Company_77,Edtech,DE,2023-04-25,ads,Enterprise,13,False,False,12,0,11567,963.9166666666666,138804,38.3,28.941666666666666,True,True,True,11,0.0,54,511,150876,2794.0,33,31,6,63.01,4.0,0.0,33.75,98.25,3.75,1.0,0.0,24+ Months,2023-04,2023,2023Q2,Low,Medium,27897.35,0
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,9,3,25813,2868.1111111111113,309756,39.0,21.333333333333332,True,False,True,7,0.333,45,451,151460,3365.777777777778,28,25,4,52.67,1.0,0.0,51.0,128.0,4.0,1.0,0.0,24+ Months,2023-02,2023,2023Q1,High,Medium,61186.37,0
